temperature,selection_protocol,replicated_line,climbing_speed
5,control,R1,0.0146
5,control,R1,0.0000
5,control,R1,0.0000
5,control,R1,0.0658
5,control,R1,0.0000
5,control,R1,0.0594
5,control,R1,0.0142
5,control,R1,0.0000
5,control,R1,0.0297
5,control,R1,0.0000
5,control,R1,0.0120
5,control,R1,0.0196
5,control,R1,0.0000
5,control,R1,0.0000
5,control,R1,0.0141
5,control,R2,0.0000
5,control,R2,0.0000
5,control,R2,0.0161
5,control,R2,0.0000
5,control,R2,0.0205
5,control,R2,0.0000
5,control,R2,0.0237
5,control,R2,0.0000
5,control,R2,0.0322
5,control,R2,0.0000
5,control,R2,0.0389
5,control,R2,0.0000
5,control,R2,0.0000
5,control,R2,0.0000
5,control,R2,0.0000
5,control,R3,0.0093
5,control,R3,0.0000
5,control,R3,0.0352
5,control,R3,0.0229
5,control,R3,0.0819
5,control,R3,0.0000
5,control,R3,0.0049
5,control,R3,0.0098
5,control,R3,0.0000
5,control,R3,0.0000
5,control,R3,0.0522
5,control,R3,0.0000
5,control,R3,0.0360
5,control,R3,0.0000
5,control,R3,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0489
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0188
5,fast-selected,R1,0.0134
5,fast-selected,R1,0.0133
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0120
5,fast-selected,R1,0.0541
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R1,0.0000
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0090
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0151
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0138
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0190
5,fast-selected,R2,0.0000
5,fast-selected,R2,0.0111
5,fast-selected,R2,0.0000
